Product_ID,Product_Name,Category,Units_Sold,unit_price,Supplier,Waste_Units,Notes,delivery_date,Sales_Date, Inventory,Revenue,waste cost,Inventory cost
P006,tomatoes,Vegetables,45,1.25,GreenLeaf Inc.,1,Start time election.,2023-04-24,2023-04-25,46,56.25,1.25,57.5
P001,bananas,Fruits,39,0.45,Agrifoods Inc.,0,Near through respond.,2023-04-08,2023-04-06,39,17.55,0,17.55
P005,lettuce,Vegetables,30,1.1,GreenLeaf Inc.,2,Watch past.,2023-10-13,2023-10-12,32,33,2.2,35.2
P004,bread-white,Bakery,54,2.15,BakeHouse Inc.,0,Option sort represent on.,2023-04-09,2023-04-10,54,116.1,0,116.1
P005,lettuce,Vegetables,34,1.1,GreenLeaf Inc.,0,Discover.,2023-10-27,2023-10-28,34,37.4,0,37.4
P004,bread-white,Bakery,56,2.15,BakeHouse Inc.,2,Four sense.,2023-10-11,2023-10-12,58,120.4,4.3,124.7
P006,tomatoes,Vegetables,69,1.25,GreenLeaf Inc.,5,Behind camera.,2023-09-09,2023-09-08,74,86.25,6.25,92.5
P007,eggs dozen,Dairy,61,4,DairyBest Inc.,1,Deal never.,2023-02-03,2023-02-02,62,244,4,248
P004,bread-white,Bakery,28,2.15,BakeHouse Inc.,1,Model production for.,2024-10-21,2024-10-20,29,60.2,2.15,62.35
P004,bread-white,Bakery,27,2.15,BakeHouse Inc.,0,Focus whatever.,2024-01-06,2024-01-06,27,58.05,0,58.05
P005,lettuce,Vegetables,58,1.1,GreenLeaf Inc.,3,Human manage couple.,2023-03-06,2023-03-07,61,63.8,3.3,67.1
P007,eggs dozen,Dairy,24,4,DairyBest Inc.,1,Oil site behavior.,2023-10-01,2023-10-01,25,96,4,100
P007,eggs dozen,Dairy,29,4,DairyBest Inc.,1,Wind family.,2024-10-15,2024-10-16,30,116,4,120
P001,bananas,Fruits,49,0.45,AgriFoods Inc.,1,Plant north.,2023-04-24,2023-04-25,50,22.05,0.45,22.5
P007,eggs dozen,Dairy,26,4,DairyBest Inc.,4,Manage watch member.,2024-07-01,2024-06-29,30,104,16,120
P007,eggs dozen,Dairy,49,4,DairyBest Inc.,5,Lay door third.,2025-01-19,2025-01-17,54,196,20,216
P002,milk 2l,Dairy,12,3.5,DairyBest Inc.,1,Heart kid usually.,2023-03-06,2023-03-07,13,42,3.5,45.5
P001,bananas,Fruits,19,0.45,agrifoods inc.,2,Person interview.,2023-02-02,2023-02-02,21,8.55,0.9,9.45
P007,eggs dozen,Dairy,34,4,DairyBest Inc.,5,Major meeting blue.,2024-05-01,2024-04-29,39,136,20,156
P006,tomatoes,Vegetables,17,1.25,GreenLeaf Inc.,2,Thought wind simply.,2024-10-31,2024-10-31,19,21.25,2.5,23.75
P005,lettuce,Vegetables,64,1.1,GreenLeaf Inc.,3,South education discuss.,2024-04-06,2024-04-04,67,70.4,3.3,73.7
P005,lettuce,Vegetables,61,1.1,GreenLeaf Inc.,4,Light year.,2023-03-10,2023-03-11,65,67.1,4.4,71.5
P006,tomatoes,Vegetables,43,1.25,GreenLeaf Inc.,5,Represent certainly.,2024-08-22,2024-08-20,48,53.75,6.25,60
P003,chicken breast,Meat,57,9.25,Meats-R-Us Inc.,3,Water different building.,2023-03-11,2023-03-12,60,527.25,27.75,555
P002,milk 2l,Dairy,23,3.5,DairyBest Inc.,1,Before of.,2023-09-28,2023-09-28,24,80.5,3.5,84
P006,tomatoes,Vegetables,74,1.25,GreenLeaf Inc.,0,Sit training commercial.,2024-10-12,2024-10-11,74,92.5,0,92.5
P003,chicken breast,Meat,43,9.25,Meats-R-Us Inc.,3,Debate difference.,2025-02-27,2025-02-28,46,397.75,27.75,425.5
P006,tomatoes,Vegetables,57,1.25,GreenLeaf Inc.,1,Their ready floor.,2023-06-03,2023-06-02,58,71.25,1.25,72.5
P003,chicken breast,Meat,23,9.25,Meats-R-Us Inc.,4,Process care offer.,2023-08-04,2023-08-04,27,212.75,37,249.75
P007,eggs dozen,Dairy,62,4,DairyBest Inc.,5,Person smile.,2025-04-10,2025-04-10,67,248,20,268
P007,eggs dozen,Dairy,58,4,DairyBest Inc.,3,Task detail.,2024-12-20,2024-12-19,61,232,12,244
P003,chicken breast,Meat,43,9.25,Meats-R-Us Inc.,2,Picture rather man though.,2023-01-31,2023-01-29,45,397.75,18.5,416.25
P004,bread-white,Bakery,59,2.15,BakeHouse Inc.,1,Will sell suddenly there.,2024-09-11,2024-09-12,60,126.85,2.15,129
P004,bread-white,Bakery,50,2.15,BakeHouse Inc.,0,Under I.,2023-03-14,2023-03-13,50,107.5,0,107.5
P004,bread-white,Bakery,80,2.15,BakeHouse Inc.,3,Goal myself open.,2024-12-14,2024-12-14,83,172,6.45,178.45
P005,lettuce,Vegetables,48,1.1,GreenLeaf Inc.,3,Standard.,2025-05-04,2025-05-03,51,52.8,3.3,56.1
P004,bread-white,Bakery,75,2.15,BakeHouse Inc.,5,Do tax defense.,2024-11-23,2024-11-22,80,161.25,10.75,172
P007,eggs dozen,Dairy,49,4,DairyBest Inc.,1,Impact large.,2025-02-08,2025-02-08,50,196,4,200
P007,eggs dozen,Dairy,68,4,DairyBest Inc.,5,Since week.,2025-02-27,2025-02-25,73,272,20,292
P002,milk 2l,Dairy,23,3.5,DairyBest Inc.,1,Take by.,2024-11-04,2024-11-02,24,80.5,3.5,84
P002,milk 2l,Dairy,68,3.5,DairyBest Inc.,3,Seem trip institution coach.,2025-05-19,2025-05-18,71,238,10.5,248.5
P007,eggs dozen,Dairy,80,4,DairyBest Inc.,1,Actually reveal condition.,2025-01-08,2025-01-06,81,320,4,324
P007,eggs dozen,Dairy,76,4,DairyBest Inc.,1,Place piece true.,2024-10-15,2024-10-14,77,304,4,308
P003,chicken breast,Meat,27,9.25,Meats-R-Us Inc.,3,Leave a.,2023-11-23,2023-11-24,30,249.75,27.75,277.5
P003,chicken breast,Meat,63,9.25,Meats-R-Us Inc.,3,Apply under car.,2024-07-08,2024-07-09,66,582.75,27.75,610.5
P001,bananas,Fruits,59,0.45,Agrifoods Inc.,3,Front only.,2023-12-27,2023-12-27,62,26.55,1.35,27.9
P003,chicken breast,Meat,13,9.25,Meats-R-Us Inc.,5,Thought discover edge.,2024-03-22,2024-03-22,18,120.25,46.25,166.5
P005,lettuce,Vegetables,60,1.1,GreenLeaf Inc.,5,Positive less draw.,2024-06-30,2024-06-30,65,66,5.5,71.5
P001,bananas,Fruits,51,0.45,Agrifoods Inc.,2,Organization bring by.,2023-09-25,2023-09-24,53,22.95,0.9,23.85
P007,eggs dozen,Dairy,35,4,DairyBest Inc.,4,View price seem.,2023-02-03,2023-02-01,39,140,16,156
P005,lettuce,Vegetables,58,1.1,GreenLeaf Inc.,5,Game wear at.,2023-01-27,2023-01-27,63,63.8,5.5,69.3
P007,eggs dozen,Dairy,15,4,DairyBest Inc.,3,Admit.,2024-12-02,2024-12-01,18,60,12,72
P006,tomatoes,Vegetables,78,1.25,GreenLeaf Inc.,3,Citizen billion.,2024-06-19,2024-06-18,81,97.5,3.75,101.25
P007,eggs dozen,Dairy,67,4,DairyBest Inc.,3,Effort people.,2023-03-31,2023-03-30,70,268,12,280
P007,eggs dozen,Dairy,72,4,DairyBest Inc.,2,Republican real support.,2023-11-30,2023-11-29,74,288,8,296
P002,milk 2l,Dairy,62,3.5,DairyBest Inc.,1,Born data box relate.,2023-03-31,2023-03-29,63,217,3.5,220.5
P003,chicken breast,Meat,41,9.25,Meats-R-Us Inc.,4,Some quality.,2023-08-16,2023-08-15,45,379.25,37,416.25
P003,chicken breast,Meat,44,9.25,Meats-R-Us Inc.,1,Wind relate long.,2023-12-28,2023-12-27,45,407,9.25,416.25
P007,eggs dozen,Dairy,34,4,DairyBest Inc.,3,Alone consumer.,2024-12-08,2024-12-07,37,136,12,148
P003,chicken breast,Meat,32,9.25,Meats-R-Us Inc.,5,Require every.,2023-08-20,2023-08-21,37,296,46.25,342.25
P003,chicken breast,Meat,72,9.25,Meats-R-Us Inc.,0,At plan know do.,2024-12-17,2024-12-15,72,666,0,666
P002,milk 2l,Dairy,71,3.5,DairyBest Inc.,0,Chair about.,2023-02-21,2023-02-22,71,248.5,0,248.5
P004,bread-white,Bakery,49,2.15,BakeHouse Inc.,0,Bill nothing.,2023-11-01,2023-11-01,49,105.35,0,105.35
P006,tomatoes,Vegetables,40,1.25,GreenLeaf Inc.,0,Option religious.,2023-03-27,2023-03-25,40,50,0,50
P001,bananas,Fruits,46,0.45,agrifoods inc.,3,Improve claim how.,2023-08-27,2023-08-26,49,20.7,1.35,22.05
P006,tomatoes,Vegetables,13,1.25,GreenLeaf Inc.,5,Across large.,2023-11-26,2023-11-27,18,16.25,6.25,22.5
P001,bananas,Fruits,70,0.45,agrifoods inc.,3,Wall add.,2025-02-22,2025-02-20,73,31.5,1.35,32.85
P004,bread-white,Bakery,52,2.15,BakeHouse Inc.,0,Follow than pick.,2023-12-25,2023-12-23,52,111.8,0,111.8
P006,tomatoes,Vegetables,68,1.25,GreenLeaf Inc.,2,Reduce tree.,2024-02-14,2024-02-15,70,85,2.5,87.5
P001,bananas,Fruits,73,0.45,Agrifoods Inc.,0,Forward task.,2023-07-12,2023-07-12,73,32.85,0,32.85
P004,bread-white,Bakery,24,2.15,BakeHouse Inc.,0,Five usually.,2023-04-08,2023-04-06,24,51.6,0,51.6
P005,lettuce,Vegetables,18,1.1,GreenLeaf Inc.,3,News southern onto.,2025-02-04,2025-02-03,21,19.8,3.3,23.1
P006,tomatoes,Vegetables,29,1.25,GreenLeaf Inc.,3,Thought door.,2023-11-04,2023-11-02,32,36.25,3.75,40
P007,eggs dozen,Dairy,59,4,DairyBest Inc.,3,Writer technology.,2023-07-15,2023-07-13,62,236,12,248
P006,tomatoes,Vegetables,29,1.25,GreenLeaf Inc.,2,Game into.,2023-05-27,2023-05-28,31,36.25,2.5,38.75
P004,bread-white,Bakery,79,2.15,BakeHouse Inc.,0,Edge certainly opportunity.,2023-11-21,2023-11-21,79,169.85,0,169.85
P001,bananas,Fruits,66,0.45,AgriFoods Inc.,2,Wear environmental.,2025-02-18,2025-02-17,68,29.7,0.9,30.6
P003,chicken breast,Meat,28,9.25,Meats-R-Us Inc.,3,Bag town.,2024-01-19,2024-01-19,31,259,27.75,286.75
P007,eggs dozen,Dairy,79,4,DairyBest Inc.,3,Policy eat become.,2024-04-22,2024-04-21,82,316,12,328
P001,bananas,Fruits,45,0.45,AgriFoods Inc.,5,Majority prepare.,2025-05-01,2025-04-29,50,20.25,2.25,22.5
P005,lettuce,Vegetables,38,1.1,GreenLeaf Inc.,4,Science husband community.,2025-03-31,2025-04-01,42,41.8,4.4,46.2
P007,eggs dozen,Dairy,56,4,DairyBest Inc.,0,Just support.,2024-03-29,2024-03-27,56,224,0,224
P002,milk 2l,Dairy,77,3.5,DairyBest Inc.,2,Common send.,2025-03-18,2025-03-16,79,269.5,7,276.5
P007,eggs dozen,Dairy,19,4,DairyBest Inc.,1,Score never design.,2023-04-29,2023-04-28,20,76,4,80
P001,bananas,Fruits,68,0.45,Agrifoods Inc.,5,List indicate natural.,2023-09-30,2023-09-28,73,30.6,2.25,32.85
P006,tomatoes,Vegetables,13,1.25,GreenLeaf Inc.,4,Reason thus turn.,2023-08-28,2023-08-28,17,16.25,5,21.25
P006,tomatoes,Vegetables,24,1.25,GreenLeaf Inc.,0,Feel.,2023-11-05,2023-11-06,24,30,0,30
P005,lettuce,Vegetables,68,1.1,GreenLeaf Inc.,5,Score bank see.,2023-05-21,2023-05-19,73,74.8,5.5,80.3
P002,milk 2l,Dairy,21,3.5,DairyBest Inc.,5,Role bring.,2023-05-05,2023-05-06,26,73.5,17.5,91
P002,milk 2l,Dairy,18,3.5,DairyBest Inc.,4,Check car dog technology.,2025-03-16,2025-03-16,22,63,14,77
P006,tomatoes,Vegetables,11,1.25,GreenLeaf Inc.,1,Deep.,2023-01-27,2023-01-27,12,13.75,1.25,15
P002,milk 2l,Dairy,77,3.5,DairyBest Inc.,0,Meet between.,2025-01-28,2025-01-29,77,269.5,0,269.5
P006,tomatoes,Vegetables,66,1.25,GreenLeaf Inc.,0,Its factor rise.,2023-04-20,2023-04-21,66,82.5,0,82.5
P007,eggs dozen,Dairy,65,4,DairyBest Inc.,1,Activity.,2024-11-03,2024-11-01,66,260,4,264
P003,chicken breast,Meat,42,9.25,Meats-R-Us Inc.,1,Marriage seek together.,2024-03-12,2024-03-13,43,388.5,9.25,397.75
P001,bananas,Fruits,57,0.45,Agrifoods Inc.,4,Win information another.,2024-03-19,2024-03-18,61,25.65,1.8,27.45
P002,milk 2l,Dairy,54,3.5,DairyBest Inc.,2,Business thank strategy.,2025-05-17,2025-05-17,56,189,7,196
P007,eggs dozen,Dairy,44,4,DairyBest Inc.,2,Perform.,2025-04-19,2025-04-18,46,176,8,184
P004,bread-white,Bakery,57,2.15,BakeHouse Inc.,2,Believe right.,2023-12-15,2023-12-16,59,122.55,4.3,126.85
P002,milk 2l,Dairy,20,3.5,DairyBest Inc.,5,Behavior choose.,2025-02-13,2025-02-11,25,70,17.5,87.5
P002,milk 2l,Dairy,54,3.5,DairyBest Inc.,2,Why fund.,2025-02-14,2025-02-12,56,189,7,196
P002,milk 2l,Dairy,10,3.5,DairyBest Inc.,1,Pm if PM.,2024-02-10,2024-02-09,11,35,3.5,38.5
P001,bananas,Fruits,32,0.45,Agrifoods Inc.,4,Million.,2024-05-25,2024-05-24,36,14.4,1.8,16.2
P007,eggs dozen,Dairy,65,4,DairyBest Inc.,0,Work on.,2025-01-31,2025-01-29,65,260,0,260
P004,bread-white,Bakery,41,2.15,BakeHouse Inc.,3,Science audience for.,2025-05-15,2025-05-14,44,88.15,6.45,94.6
P003,chicken breast,Meat,19,9.25,Meats-R-Us Inc.,0,Yard really.,2025-03-09,2025-03-08,19,175.75,0,175.75
P002,milk 2l,Dairy,42,3.5,DairyBest Inc.,4,Professional race woman against.,2023-04-16,2023-04-16,46,147,14,161
P007,eggs dozen,Dairy,51,4,DairyBest Inc.,5,Win today.,2024-07-30,2024-07-31,56,204,20,224
P006,tomatoes,Vegetables,17,1.25,GreenLeaf Inc.,0,Administration.,2023-11-06,2023-11-07,17,21.25,0,21.25
P007,eggs dozen,Dairy,21,4,DairyBest Inc.,4,Letter argue score.,2023-10-20,2023-10-21,25,84,16,100
P006,tomatoes,Vegetables,70,1.25,GreenLeaf Inc.,0,Team possible actually.,2023-07-11,2023-07-12,70,87.5,0,87.5
P002,milk 2l,Dairy,66,3.5,DairyBest Inc.,4,Term.,2024-12-26,2024-12-25,70,231,14,245
P007,eggs dozen,Dairy,52,4,DairyBest Inc.,0,Husband scientist night citizen.,2023-12-14,2023-12-13,52,208,0,208
P007,eggs dozen,Dairy,20,4,DairyBest Inc.,1,Almost five.,2023-06-05,2023-06-03,21,80,4,84
P006,tomatoes,Vegetables,58,1.25,GreenLeaf Inc.,2,Computer discuss.,2023-03-27,2023-03-28,60,72.5,2.5,75
P003,chicken breast,Meat,49,9.25,Meats-R-Us Inc.,1,Class level grow.,2023-01-19,2023-01-19,50,453.25,9.25,462.5
P002,milk 2l,Dairy,22,3.5,DairyBest Inc.,4,Amount trip.,2023-03-20,2023-03-21,26,77,14,91
P002,milk 2l,Dairy,29,3.5,DairyBest Inc.,5,May.,2024-09-05,2024-09-03,34,101.5,17.5,119
P003,chicken breast,Meat,66,9.25,Meats-R-Us Inc.,5,Show property rate order.,2024-11-23,2024-11-23,71,610.5,46.25,656.75
P007,eggs dozen,Dairy,66,4,DairyBest Inc.,2,Family together change.,2023-07-20,2023-07-18,68,264,8,272
P007,eggs dozen,Dairy,42,4,DairyBest Inc.,3,Set push.,2024-09-10,2024-09-11,45,168,12,180
P001,bananas,Fruits,44,0.45,Agrifoods Inc.,4,Way approach.,2025-02-19,2025-02-20,48,19.8,1.8,21.6
P003,chicken breast,Meat,16,9.25,Meats-R-Us Inc.,2,Top rock edge.,2023-01-29,2023-01-28,18,148,18.5,166.5
P003,chicken breast,Meat,28,9.25,Meats-R-Us Inc.,2,Full fear effect.,2023-04-12,2023-04-12,30,259,18.5,277.5
P005,lettuce,Vegetables,12,1.1,GreenLeaf Inc.,1,What section reason response.,2023-01-08,2023-01-06,13,13.2,1.1,14.3
P002,milk 2l,Dairy,16,3.5,DairyBest Inc.,5,Benefit evidence.,2023-11-04,2023-11-05,21,56,17.5,73.5
P005,lettuce,Vegetables,75,1.1,GreenLeaf Inc.,5,Current sure.,2024-07-01,2024-07-02,80,82.5,5.5,88
P005,lettuce,Vegetables,20,1.1,GreenLeaf Inc.,2,Black staff education.,2024-03-01,2024-03-02,22,22,2.2,24.2
P001,bananas,Fruits,57,0.45,AgriFoods Inc.,0,Be gas treatment.,2024-10-13,2024-10-12,57,25.65,0,25.65
P007,eggs dozen,Dairy,27,4,DairyBest Inc.,4,Scientist order.,2024-08-20,2024-08-18,31,108,16,124
P007,eggs dozen,Dairy,68,4,DairyBest Inc.,1,Simply service.,2023-05-18,2023-05-19,69,272,4,276
P005,lettuce,Vegetables,42,1.1,GreenLeaf Inc.,5,Whatever hold avoid.,2024-02-11,2024-02-12,47,46.2,5.5,51.7
P001,bananas,Fruits,65,0.45,Agrifoods Inc.,5,Sense read study.,2025-03-30,2025-03-29,70,29.25,2.25,31.5
